drinkID	skladnikID	skladIlosc	skladMiara	skladNotka	skladOpcja
tuxedo	likiermaraschino	12.5	ml		0
tuxedo	gin	30	ml		0
tuxedo	vermouthwytrawny	30	ml		0
tuxedo	cytryna				1
tuxedo	wisnia				1
twinpeaks	syropbluecuracao	45	ml	po 15ml do każdego kieliszka	0
twinpeaks	gin	50	ml		0
twinpeaks	sokzgrejpfruta	50	ml		0
twinpeaks	lodwkostkach				0
twoprincess	wodasodowa		dopelnienie	do dopełnienia	0
twoprincess	mieta		listek	kilka listków	0
twoprincess	grenadyna	20	ml		0
twoprincess	sokzcytryny	40	ml		0
twoprincess	likiermalinowy	50	ml		0
twoprincess	lodwkostkach				0
underthebridge	cocacola		dopelnienie	do dopełnienia	0
underthebridge	cytryna		kawalek	plaster	0
underthebridge	grenadyna	20	ml		0
underthebridge	sokzcytryny	40	ml		0
underthebridge	rumbialy	50	ml		0
underthebridge	wodka	50	ml		0
underthebridge	lodwkostkach				0
upiorwoperze	sokzcytryny	40	ml		0
upiorwoperze	wodka	50	ml		0
upiorwoperze	likiercuracao	70	ml		0
upiorwoperze	sokzgrejpfruta	100	ml		0
upiorwoperze	sokpomaranczowy	150	ml		0
upiorwoperze	lodwkostkach				0
vento	jajko	10	ml	białka	1
vento	chamomilecordial	15	ml		0
vento	syropzmiodu	15	ml		0
vento	whitesmoothgrappa	45	ml		0
vento	sokzcytryny	22.5	ml		0
vento	bialewinogrona				1
vento	cytryna				1
vesper	lilletblanc	7.5	ml		0
vesper	wodka	15	ml		0
vesper	gin	45	ml		0
vesper	cytryna				1
vieuxcarre	peychaudsbitters	2	kropla		0
vieuxcarre	benedictine	15	ml		0
vieuxcarre	koniak	30	ml		0
vieuxcarre	vermouthslodkiczerwony	30	ml		0
vieuxcarre	whiskey	30	ml		0
vieuxcarre	pomarancza				1
vieuxcarre	wisniakoktailowa				1
viper	likiercuracao	20	ml		0
viper	rumbialy	100	ml		0
viper	sokpomaranczowy	100	ml		0
viper	sokzananasa	100	ml		0
viper	lodwkostkach				0
wakabayashi	kakao	10	gr		0
wakabayashi	tequila	50	ml		0
wakabayashi	mleczkoskond	100	ml		0
wakabayashi	czekolada		odrobina		0
wakabayashi	lodwkostkach				0
walkoflife	tonic		dopelnienie	do dopełnienia	0
walkoflife	syropzmalin	20	ml		0
walkoflife	wodka	50	ml		0
walkoflife	sokzwisni	100	ml		0
walkoflife	lodwkostkach				0
whiskeysour	jajko	20	ml	białka	1
whiskeysour	syropcukrowy	20	ml		0
whiskeysour	sokzcytryny	25	ml		0
whiskeysour	bourbon	45	ml		0
whiskeysour	pomarancza				1
whiskeysour	wisniakoktailowa				1
whitelady	sokzcytryny	20	ml		0
whitelady	triplesec	30	ml		0
whitelady	gin	40	ml		0
whiterussian	smietana			na wierzchu	0
whiterussian	likierkawowy	20	ml		0
whiterussian	wodka	50	ml		0
windofchange	pomarancza	1	kawalek	plaster	0
windofchange	miechunka	1	kawalek		0
windofchange	grenadyna	20	ml		0
windofchange	sokzcytryny	20	ml		0
windofchange	gin	50	ml		0
windofchange	sokpomaranczowy	150	ml		0
windofchange	lodwkostkach				0
wscieklypies	tabasco	3	kropla		0
wscieklypies	syropzmalin	15	ml		0
wscieklypies	wodka	25	ml		0
yattaman	cocacola		dopelnienie	do dopełnienia	0
yattaman	cytryna		ćwiartka		0
yattaman	wodkapigwowa	50	ml		0
yattaman	lodwkostkach				0
yellowbird	likiergalliano	15	ml		0
yellowbird	sokzlimonki	15	ml		0
yellowbird	triplesec	15	ml		0
yellowbird	rumbialy	30	ml		0
zabojczabron	granat	10	gr		0
zabojczabron	wodkacytrynowa	70	ml		0
zabojczabron	sokzmango	300	ml		0
zabojczabron	lodwkostkach				0
zabojczynumer	syropbluecuracao		kropla	kilka kropli	0
zabojczynumer	gin	70	ml		0
zabojczynumer	sokpomaranczowy	100	ml		0
zabojczynumer	lodwkostkach				0
zartropikow	grenadyna	20	ml		0
zartropikow	likiercuracao	50	ml		0
zartropikow	rumbialy	50	ml		0
zartropikow	sokpomaranczowy	300	ml		0
zartropikow	lodwkostkach				0
zombie	angosturabitters	1	kropla		0
zombie	pieprz	6	kropla		0
zombie	grenadyna	5	ml		0
zombie	syropdonnsmix	15	ml		0
zombie	syropfalernum	15	ml		0
zombie	sokzlimonki	20	ml		0
zombie	rumbialy	30	ml		0
zombie	rumciemny	45	ml		0
zombie	rumciemny	45	ml		0
zombie	mieta				1
lemoniadacytrynowa	sokzcytryny	30	ml		0
lemoniadacytrynowa	syropcukrowy	50	ml		0
lemoniadacytrynowa	wodasodowa	750	ml		0
lemoniadacytrynowa	cytryna		owoc	cały owoc	0
lemoniadacytrynowa	limonka		owoc	cały owoc	0
lemoniadacytrynowa	lodwkostkach				0
lemoniadazmieta	sokzcytryny	30	ml		0
lemoniadazmieta	syropcukrowy	50	ml		0
lemoniadazmieta	wodasodowa	750	ml		0
lemoniadazmieta	cytryna		owoc	pół owocu	0
lemoniadazmieta	limonka		owoc	pół owocu	0
lemoniadazmieta	mieta		listek	kilka listków	0
lemoniadazmieta	lodwkostkach				0
lemoniadatruskawkowa	sokzcytryny	30	ml		0
lemoniadatruskawkowa	syropcukrowy	50	ml		0
lemoniadatruskawkowa	wodasodowa	750	ml		0
lemoniadatruskawkowa	cytryna		owoc	pół owocu	0
lemoniadatruskawkowa	mieta		listek	kilka listków do ozdoby	0
lemoniadatruskawkowa	truskawka	200	gr		0
lemoniadatruskawkowa	lodwkostkach				0
lemoniadaarbuzowa	sokzcytryny	30	ml		0
lemoniadaarbuzowa	syropcukrowy	50	ml		0
lemoniadaarbuzowa	wodasodowa	750	ml		0
lemoniadaarbuzowa	cytryna		owoc	pół owocu	0
lemoniadaarbuzowa	mieta		listek	kilka listków do ozdoby	0
lemoniadaarbuzowa	arbuz	500	gr	ćwiartka owocu	0
lemoniadaarbuzowa	lodwkostkach				0
lemoniadamalinowa	sokzcytryny	30	ml		0
lemoniadamalinowa	syropcukrowy	50	ml		0
lemoniadamalinowa	wodasodowa	750	ml		0
lemoniadamalinowa	cytryna		owoc	pół owocu	0
lemoniadamalinowa	mieta		listek	kilka listków	0
lemoniadamalinowa	maliny	50	gr		0
lemoniadamalinowa	lodwkostkach				0
